player_id,purchase_datetime,price,purchase_id
1,2022-02-24,27.71,1000
1,2022-01-06,23.36,1001
1,2022-01-05,48.19,1002
1,2022-02-02,4.67,1003
2,2022-02-08,2.49,1004
2,2022-02-16,47.24,1005
2,2022-02-24,37.58,1006
3,2022-01-17,45.96,1007
3,2022-01-05,1.66,1008
4,2022-02-07,9.16,1009
4,2022-01-06,37.19,1010
5,2022-02-15,2.57,1011
6,2022-02-01,39.9,1012
6,2022-02-09,34.19,1013
7,2022-02-19,17.52,1014
7,2022-01-23,11.4,1015
7,2022-02-18,15.13,1016
7,2022-02-10,30.34,1017
8,2022-01-06,23.06,1018
8,2022-03-01,15.2,1019
8,2022-02-18,5.92,1020
9,2022-02-23,38.6,1021
10,2022-02-23,17.09,1022
10,2022-01-30,45.7,1023
10,2022-02-09,11.06,1024
11,2022-01-06,45.3,1025
11,2022-02-08,12.0,1026
11,2022-01-12,22.32,1027
12,2022-02-03,11.0,1028
12,2022-01-01,13.23,1029
12,2022-01-14,35.46,1030
13,2022-02-12,46.13,1031
13,2022-01-08,2.43,1032
14,2022-01-23,40.4,1033
15,2022-01-17,35.32,1034
16,2022-02-07,2.38,1035
17,2022-02-18,9.25,1036
17,2022-01-20,34.63,1037
17,2022-01-23,20.43,1038
17,2022-01-24,8.52,1039
18,2022-02-04,48.42,1040
18,2022-01-04,24.42,1041
18,2022-02-24,34.12,1042
19,2022-01-05,10.53,1043
20,2022-02-01,41.08,1044
