id,session_date,mb_used,user_id
1,2018-01-01 00:00:00.000000000,1338,142
2,2018-01-01 02:54:46.695565188,1856,46
3,2018-01-01 05:49:33.391130376,1054,163
4,2018-01-01 08:44:20.086695565,2406,285
5,2018-01-01 11:39:06.782260753,2925,268
6,2018-01-01 14:33:53.477825941,2267,116
7,2018-01-01 17:28:40.173391130,1075,82
8,2018-01-01 20:23:26.868956318,1012,44
9,2018-01-01 23:18:13.564521507,1251,194
10,2018-01-02 02:13:00.260086695,822,258
11,2018-01-02 05:07:46.955651883,2670,443
12,2018-01-02 08:02:33.651217072,1811,273
13,2018-01-02 10:57:20.346782260,424,394
14,2018-01-02 13:52:07.042347449,1629,274
15,2018-01-02 16:46:53.737912637,1649,278
16,2018-01-02 19:41:40.433477825,1173,83
17,2018-01-02 22:36:27.129043014,2045,58
18,2018-01-03 01:31:13.824608202,1707,53
19,2018-01-03 04:26:00.520173391,2216,1
20,2018-01-03 07:20:47.215738579,490,216
21,2018-01-03 10:15:33.911303767,2530,317
22,2018-01-03 13:10:20.606868956,115,228
23,2018-01-03 16:05:07.302434144,945,473
24,2018-01-03 18:59:53.997999333,968,484
25,2018-01-03 21:54:40.693564521,667,254
26,2018-01-04 00:49:27.389129709,2279,159
27,2018-01-04 03:44:14.084694898,2119,287
28,2018-01-04 06:39:00.780260086,2420,66
29,2018-01-04 09:33:47.475825275,1746,403
30,2018-01-04 12:28:34.171390463,2631,309
31,2018-01-04 15:23:20.866955651,2697,460
32,2018-01-04 18:18:07.562520840,456,458
33,2018-01-04 21:12:54.258086028,1756,95
34,2018-01-05 00:07:40.953651217,2380,493
35,2018-01-05 03:02:27.649216405,135,253
36,2018-01-05 05:57:14.344781593,2560,150
37,2018-01-05 08:52:01.040346782,1127,23
38,2018-01-05 11:46:47.735911970,2191,244
39,2018-01-05 14:41:34.431477159,2715,215
40,2018-01-05 17:36:21.127042347,2887,399
41,2018-01-05 20:31:07.822607535,213,410
42,2018-01-05 23:25:54.518172724,1872,131
43,2018-01-06 02:20:41.213737912,2544,343
44,2018-01-06 05:15:27.909303101,1297,148
45,2018-01-06 08:10:14.604868289,1378,381
46,2018-01-06 11:05:01.300433477,565,109
47,2018-01-06 13:59:47.995998666,1587,40
48,2018-01-06 16:54:34.691563854,946,121
49,2018-01-06 19:49:21.387129043,601,295
50,2018-01-06 22:44:08.082694231,540,120
51,2018-01-07 01:38:54.778259419,2216,456
52,2018-01-07 04:33:41.473824608,425,18
53,2018-01-07 07:28:28.169389796,1865,169
54,2018-01-07 10:23:14.864954985,166,198
55,2018-01-07 13:18:01.560520173,403,411
56,2018-01-07 16:12:48.256085361,1071,484
57,2018-01-07 19:07:34.951650550,583,143
58,2018-01-07 22:02:21.647215738,1028,37
59,2018-01-08 00:57:08.342780927,1540,186
60,2018-01-08 03:51:55.038346115,248,261
61,2018-01-08 06:46:41.733911303,2731,231
62,2018-01-08 09:41:28.429476492,2395,254
63,2018-01-08 12:36:15.125041680,1224,329
64,2018-01-08 15:31:01.820606869,2849,391
65,2018-01-08 18:25:48.516172057,195,297
66,2018-01-08 21:20:35.211737245,381,468
67,2018-01-09 00:15:21.907302434,2469,10
68,2018-01-09 03:10:08.602867622,628,446
69,2018-01-09 06:04:55.298432811,2410,410
70,2018-01-09 08:59:41.993997999,1742,324
71,2018-01-09 11:54:28.689563187,679,230
72,2018-01-09 14:49:15.385128376,1763,24
73,2018-01-09 17:44:02.080693564,2441,78
74,2018-01-09 20:38:48.776258753,1731,425
75,2018-01-09 23:33:35.471823941,2542,193
76,2018-01-10 02:28:22.167389129,2660,401
77,2018-01-10 05:23:08.862954318,909,109
78,2018-01-10 08:17:55.558519506,792,280
79,2018-01-10 11:12:42.254084694,334,411
80,2018-01-10 14:07:28.949649883,1051,263
81,2018-01-10 17:02:15.645215071,1954,329
82,2018-01-10 19:57:02.340780260,1460,363
83,2018-01-10 22:51:49.036345448,1131,355
84,2018-01-11 01:46:35.731910636,1566,378
85,2018-01-11 04:41:22.427475825,2064,268
86,2018-01-11 07:36:09.123041013,638,341
87,2018-01-11 10:30:55.818606202,919,259
88,2018-01-11 13:25:42.514171390,1781,335
89,2018-01-11 16:20:29.209736578,371,85
90,2018-01-11 19:15:15.905301767,1128,10
91,2018-01-11 22:10:02.600866955,2022,289
92,2018-01-12 01:04:49.296432144,1342,302
93,2018-01-12 03:59:35.991997332,1241,59
94,2018-01-12 06:54:22.687562520,692,308
95,2018-01-12 09:49:09.383127709,1705,262
96,2018-01-12 12:43:56.078692897,214,386
97,2018-01-12 15:38:42.774258086,2410,285
98,2018-01-12 18:33:29.469823274,1777,119
99,2018-01-12 21:28:16.165388462,1545,168
100,2018-01-13 00:23:02.860953651,306,353
101,2018-01-13 03:17:49.556518839,2450,189
102,2018-01-13 06:12:36.252084028,211,452
103,2018-01-13 09:07:22.947649216,1540,251
104,2018-01-13 12:02:09.643214404,1982,324
105,2018-01-13 14:56:56.338779593,284,413
106,2018-01-13 17:51:43.034344781,1864,229
107,2018-01-13 20:46:29.729909970,1000,190
108,2018-01-13 23:41:16.425475158,320,316
109,2018-01-14 02:36:03.121040346,1567,124
110,2018-01-14 05:30:49.816605535,1193,84
111,2018-01-14 08:25:36.512170723,2769,297
112,2018-01-14 11:20:23.207735912,2574,215
113,2018-01-14 14:15:09.903301100,2791,237
114,2018-01-14 17:09:56.598866288,2715,466
115,2018-01-14 20:04:43.294431477,2112,113
116,2018-01-14 22:59:29.989996665,2590,217
117,2018-01-15 01:54:16.685561854,700,321
118,2018-01-15 04:49:03.381127042,1260,246
119,2018-01-15 07:43:50.076692230,603,448
120,2018-01-15 10:38:36.772257419,2278,335
121,2018-01-15 13:33:23.467822607,317,319
122,2018-01-15 16:28:10.163387796,2835,482
123,2018-01-15 19:22:56.858952984,2318,432
124,2018-01-15 22:17:43.554518172,1598,404
125,2018-01-16 01:12:30.250083361,711,374
126,2018-01-16 04:07:16.945648549,1252,37
127,2018-01-16 07:02:03.641213738,156,64
128,2018-01-16 09:56:50.336778926,1304,219
129,2018-01-16 12:51:37.032344114,345,342
130,2018-01-16 15:46:23.727909303,243,499
131,2018-01-16 18:41:10.423474491,467,389
132,2018-01-16 21:35:57.119039680,1582,34
133,2018-01-17 00:30:43.814604868,2365,39
134,2018-01-17 03:25:30.510170056,715,67
135,2018-01-17 06:20:17.205735245,1981,209
136,2018-01-17 09:15:03.901300433,1688,318
137,2018-01-17 12:09:50.596865622,2589,344
138,2018-01-17 15:04:37.292430810,2988,152
139,2018-01-17 17:59:23.987995998,798,387
140,2018-01-17 20:54:10.683561187,975,365
141,2018-01-17 23:48:57.379126375,1785,199
142,2018-01-18 02:43:44.074691564,2923,89
143,2018-01-18 05:38:30.770256752,2909,248
144,2018-01-18 08:33:17.465821940,1044,323
145,2018-01-18 11:28:04.161387129,1022,79
146,2018-01-18 14:22:50.856952317,1846,477
147,2018-01-18 17:17:37.552517506,124,434
148,2018-01-18 20:12:24.248082694,2953,285
149,2018-01-18 23:07:10.943647882,1787,330
150,2018-01-19 02:01:57.639213071,1659,32
151,2018-01-19 04:56:44.334778259,2911,87
152,2018-01-19 07:51:31.030343447,1183,39
153,2018-01-19 10:46:17.725908636,533,393
154,2018-01-19 13:41:04.421473824,1189,101
155,2018-01-19 16:35:51.117039013,2712,244
156,2018-01-19 19:30:37.812604201,2051,232
157,2018-01-19 22:25:24.508169389,2253,398
158,2018-01-20 01:20:11.203734578,195,68
159,2018-01-20 04:14:57.899299766,267,192
160,2018-01-20 07:09:44.594864955,2189,404
161,2018-01-20 10:04:31.290430143,2002,28
162,2018-01-20 12:59:17.985995331,2251,270
163,2018-01-20 15:54:04.681560520,1968,428
164,2018-01-20 18:48:51.377125708,2667,226
165,2018-01-20 21:43:38.072690897,2098,77
166,2018-01-21 00:38:24.768256085,2429,223
167,2018-01-21 03:33:11.463821273,1233,481
168,2018-01-21 06:27:58.159386462,2110,372
169,2018-01-21 09:22:44.854951650,848,167
170,2018-01-21 12:17:31.550516839,1991,284
171,2018-01-21 15:12:18.246082027,930,192
172,2018-01-21 18:07:04.941647215,148,89
173,2018-01-21 21:01:51.637212404,214,32
174,2018-01-21 23:56:38.332777592,1278,137
175,2018-01-22 02:51:25.028342781,1772,156
176,2018-01-22 05:46:11.723907969,2650,250
177,2018-01-22 08:40:58.419473157,170,95
178,2018-01-22 11:35:45.115038346,1459,17
179,2018-01-22 14:30:31.810603534,166,117
180,2018-01-22 17:25:18.506168723,1616,471
181,2018-01-22 20:20:05.201733911,1773,333
182,2018-01-22 23:14:51.897299099,1877,311
183,2018-01-23 02:09:38.592864288,1066,10
184,2018-01-23 05:04:25.288429476,2328,80
185,2018-01-23 07:59:11.983994665,1889,134
186,2018-01-23 10:53:58.679559853,712,432
187,2018-01-23 13:48:45.375125041,1986,203
188,2018-01-23 16:43:32.070690230,1722,116
189,2018-01-23 19:38:18.766255418,796,451
190,2018-01-23 22:33:05.461820607,2750,220
191,2018-01-24 01:27:52.157385795,2395,253
192,2018-01-24 04:22:38.852950983,1337,169
193,2018-01-24 07:17:25.548516172,2506,335
194,2018-01-24 10:12:12.244081360,348,316
195,2018-01-24 13:06:58.939646549,737,205
