player_id,purchase_datetime,price,purchase_id
1,2022-01-13,48.97,1000
1,2022-02-07,21.82,1001
1,2022-02-01,45.77,1002
1,2022-02-15,38.13,1003
2,2022-02-17,8.51,1004
2,2022-02-16,3.64,1005
2,2022-01-22,38.22,1006
3,2022-01-15,48.17,1007
3,2022-02-09,30.76,1008
4,2022-02-13,37.23,1009
4,2022-01-20,6.12,1010
4,2022-02-28,10.49,1011
4,2022-02-27,3.68,1012
5,2022-01-12,22.97,1013
6,2022-01-20,9.9,1014
6,2022-01-05,35.0,1015
6,2022-02-03,7.63,1016
6,2022-01-04,40.35,1017
7,2022-01-16,4.56,1018
7,2022-02-10,4.14,1019
8,2022-01-20,22.71,1020
8,2022-02-16,12.82,1021
8,2022-01-06,26.86,1022
9,2022-01-18,40.62,1023
9,2022-02-26,25.65,1024
9,2022-02-13,19.99,1025
9,2022-02-26,39.85,1026
10,2022-02-08,30.67,1027
10,2022-02-14,21.28,1028
10,2022-01-14,37.66,1029
10,2022-02-27,38.25,1030
11,2022-02-25,25.27,1031
11,2022-01-15,20.15,1032
11,2022-01-15,33.72,1033
12,2022-01-26,33.34,1034
13,2022-02-18,27.88,1035
13,2022-01-21,20.45,1036
13,2022-02-17,9.37,1037
13,2022-02-08,18.8,1038
14,2022-01-12,18.0,1039
15,2022-01-12,43.66,1040
15,2022-01-19,43.5,1041
16,2022-02-09,31.06,1042
17,2022-01-15,3.85,1043
17,2022-02-10,19.74,1044
18,2022-01-06,39.02,1045
18,2022-02-02,36.95,1046
18,2022-01-29,22.64,1047
19,2022-01-24,15.61,1048
19,2022-02-21,30.37,1049
19,2022-01-24,31.85,1050
19,2022-01-20,45.77,1051
20,2022-02-14,17.01,1052
20,2022-01-21,30.28,1053
20,2022-01-23,18.93,1054
20,2022-01-30,34.78,1055
